#	COMANDOS					1	izq				2	medio izq				3	medio der				4	der				5	Spawn bull left				6	Spawn bull right				7	Spawn fire portal				8	Spawn water portal				9	Spawn left island 8				10	Spawn left exit 3				11	Spawn right center 6		
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3		6:*	6:2	6:1	6:3		7:*	7:2	7:1	7:3		8:*	8:2	8:1	8:3		9:*	9:2	9:1	9:3		10:*	10:2	10:1	10:3		11:*	11:2	11:1	11:3
					2							doom_bringer																																															
	event	golden_beast_left			4.5																																																						
					5									demon_minotaur																																													
					10		nine_tailed_fox																																																				
	event	portal_left																																																									
					3																																		nine_tailed_fox																				
	wait				2																																																						
	event	portal_left_close																																																									
					7																		qiongqi																																				
					7													golden_eyed																																									
					4														doom_bringer																																								
					2												doom_bringer																																										
	event	portal_right																																																									
					3																																						water_spirit_spawnless	water_spirit_spawnless															
					0.85																																					water_spirit_spawnless	water_spirit_spawnless																
					0.85																																					water_spirit_spawnless		water_spirit_spawnless															
					7																																						water_spirit_spawnless																
					0.85																																					water_spirit_spawnless	water_spirit_spawnless	water_spirit_spawnless															
					0.85																																					water_spirit_spawnless	water_spirit_spawnless	water_spirit_spawnless															
	wait				2																																																						
	event	portal_right_close																																																									
																																																											
																																																											
																																																											
#	62.9																																																										
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
#	enemies					flame_guard	blaze_raider	fire_fox	fire_phoenix		wuxian	nine_tailed_fox	burning_treant	ash_spirit																																													
#	cant.					0	0	0	0		0	0	0	0																																													
#	gold	0				0	0	0	0		0	0	0	0		0	0	0	0																																								
	manual_wave	ILLUSORY_SUMMON_1																																																									
					0.5																																																						
					0.5																																																						
					0.5																																																						
					0.5																																																						
					0.5																																																						
					0.5																																																						
					0.5																																																						
					0.5																																																						
					0.5																																																						
					0.5																																																						
	manual_wave_repeat	-1																																																									
