#	COMANDOS					1					2					3					4					5					6					7					8					9					10					11					12					13			
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3		6:*	6:2	6:1	6:3		7:*	7:2	7:1	7:3		8:*	8:2	8:1	8:3		9:*	9:2	9:1	9:3		10:*	10:2	10:1	10:3		11:*	11:2	11:1	11:3		12:*	12:2	12:1	12:3		13:*	13:2	13:1	13:3
					1.5																																																										water_spirit_spawnless						
																																																																					
																																																																					
					20																																																											water_spirit_spawnless					
					2.5																																																									water_spirit_spawnless							
					2.5																																																											water_spirit_spawnless					
					2.5																																																									water_spirit_spawnless		water_spirit_spawnless					
																																																																					
#	42.25																																																																				
	manual_wave	water_spawner_w4																																																																			
					0																																																water_spirit_spawnless																
					1.5																																																water_spirit_spawnless																
	wait				1.25																																																																
					1.5																																																water_spirit_spawnless																
					1.25																																																water_spirit_spawnless																
					1.5																																																water_spirit_spawnless																
					18.5																																																water_spirit_spawnless																
																																																																					
					2.5																																																water_spirit_spawnless																
																																																																					
					2																																																water_spirit_spawnless																
																																																																					
					1.5																																																water_spirit_spawnless																
																																																																					
					1																																																water_spirit_spawnless																
																																																																					
																																																																					
	manual_wave	water_spawner_w5																																																																			
					1																																																										water_spirit_spawnless						
					2																																																									water_spirit_spawnless							
					2																																																											water_spirit_spawnless					
					2.5																																																										water_spirit_spawnless						
					1.5																																																										water_spirit_spawnless						
					2																																																									water_spirit_spawnless		water_spirit_spawnless					
	wait				1.5																																																																
	wait				2																																																																
					8																																																									water_spirit_spawnless		water_spirit_spawnless					
					2																																																										water_spirit_spawnless						
					2																																																									water_spirit_spawnless							
					1.5																																																									water_spirit_spawnless							
					2.5																																																											water_spirit_spawnless					
					1.5																																																											water_spirit_spawnless					
					1.5																																																										water_spirit_spawnless						
					1.5																																																										water_spirit_spawnless						
																																																																					
#	35																																																																				
