#	COMANDOS						1	arriba/arriba				2	medio arriba				3	medio/abajo				4	corto / abajo		
	column_names					inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3
	wave		8			18																			
#	event	warden	up																						
	event	warden	down																						
						1																	basic_lava		
						0.8																		basic_lava	
						1.5																	basic_lava		basic_lava
						1																		basic_lava	
						1.35																	basic_lava		basic_lava
						4													tanky_draconian						
						1.5												tanky_draconian							
						1.78														tanky_draconian					
						1.5												basic_acid							
						1.22														basic_acid					
						1													basic_acid						
						3.63								alfa_acid									basic_lava		basic_lava
						1.2																	basic_lava		basic_lava
						1																	basic_lava		basic_lava
						7													tanky_draconian						
						2.25												tanky_draconian		tanky_draconian					
						2							basic_acid		basic_acid										
						5							basic_acid	basic_acid											
						1.3								basic_acid	basic_acid										
						1.77							basic_acid	basic_acid											
						1							basic_acid		basic_acid										
						5																	basic_lava	basic_lava	
						0.9																		basic_lava	basic_lava
						1.4																	basic_lava	basic_lava	
						0.9																		basic_lava	basic_lava
																									
																									
																									
#	51																								
																									
#	WAVE 9																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						23	0	2	0		0	0	0	0		0	0	0	0		0			
#	gold	344					184	0	160	0		0	0	0	0		0	0	0	0		0			
	wave		9			22																			
#	event	warden	up																						
						0.1													alfa_lava						
						6												basic_lava		basic_lava					
						1													basic_lava						
						4												basic_lava		basic_lava					
						1.5												basic_lava		basic_lava					
						1												basic_lava	basic_lava	basic_lava					
	event	warden	down																						
						10																			alfa_lava
						7												basic_lava	basic_lava						
						1.1													basic_lava	basic_lava					
						0.9												basic_lava							
						0.7													basic_lava	basic_lava					
						16								basic_lava											
						1							basic_lava												
						1								basic_lava											
						1.33									basic_lava										
						0.7								basic_lava											
						1.25							basic_lava												
																									
																									
																									
																									
#	54.48																								
																									
#	WAVE 10																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						11	0	0	0		0	0	18	0		2	0	0	0		0			
#	gold	298					88	0	0	0		0	0	180	0		30	0	0	0		0			
	wave		10			20																			
#	event	warden	up																						
						1																			basic_lava
						2			basic_shadow														basic_lava		
						1.5				basic_shadow															
						2			basic_shadow																basic_lava
						1.33		basic_shadow																basic_lava	
	event	warden	down																						
						7			alfa_shadow																
						2		basic_shadow																	basic_lava
						1.77				basic_shadow														basic_lava	
						2			basic_shadow														basic_lava		
						1.7		basic_shadow																	
						12			alfa_shadow														basic_lava		
						2				basic_shadow														basic_lava	
						1.7			basic_shadow																basic_lava
						2		basic_shadow																basic_lava	
						12			basic_shadow																
						2				basic_shadow															
						2.5			basic_shadow																
						2		basic_shadow																	
						2.5			basic_shadow																
						1		basic_shadow		basic_shadow															
																									
																									
																									
																									
																									
																									
#	62																								
																									
#	WAVE 11																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						0	0	0	12		0	3	0	0		0	0	0	0		9			
#	gold	624					0	0	0	84		0	270	0	0		0	0	0	0		270			
	wave		11			35																			
#	event	warden	up																						
#	event	warden	down																						
						0.5			alfa_acid																
						4																	tanky_draconian		
						2																			tanky_draconian
						2																		tanky_draconian	
						5																	tanky_draconian		
						1.77		basic_acid																	
						1.3			basic_acid																
						1.5				basic_acid															
						5.5		basic_acid																	
						2			basic_acid																
						2				basic_acid															
						10				alfa_acid													tanky_draconian		
						1																			tanky_draconian
						8		alfa_acid		basic_acid														tanky_draconian	
						1		basic_acid																	
						0.66				basic_acid													tanky_draconian		
						1			basic_acid																
						1.25		basic_acid																	tanky_draconian
						0.5				basic_acid															
																									
																									
																									
																									
																									
#	50.98																								
																									
#	WAVE 12																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						0	0	0	0		0	0	28	0		2	0	0	0		0			
#	gold	310					0	0	0	0		0	0	280	0		30	0	0	0		0			
	wave		12			25																			
#	event	warden	up																						
						1		basic_shadow		basic_shadow															
						1.87		basic_shadow																	
						1.25			basic_shadow	basic_shadow															
						1		basic_shadow																	
						5								alfa_shadow											
	event	warden	down																						
						6							basic_shadow												
						2							basic_shadow												
						1									basic_shadow										
						1.8								basic_shadow											
						3.5							basic_shadow		basic_shadow										
						1.8								basic_shadow											
						2									basic_shadow										
						8							alfa_shadow												
						10		basic_shadow		basic_shadow					basic_shadow										
						1.5		basic_shadow																	
						1.44			basic_shadow																
						1.27		basic_shadow		basic_shadow															
						5								basic_shadow											
						2.3							basic_shadow												
						1.77									basic_shadow										
						7			basic_shadow																
						2		basic_shadow		basic_shadow															
						1.5			basic_shadow																
																									
																									
																									
#	70																								
																									
#	WAVE 13																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						8	0	0	0		0	0	0	0		0	24	0	0		7			
#	gold	634					64	0	0	0		0	0	0	0		0	360	0	0		210			
	wave		13			23																			
#	event	warden	up																						
	event	warden	down																						
						1									basic_storm										
						1									basic_storm			basic_storm						tanky_draconian	
						2									basic_storm			basic_storm							
						2												basic_storm					tanky_draconian		
						1									basic_storm			basic_storm							basic_lava
						1									basic_storm			basic_storm							
						1									basic_storm										tanky_draconian
						3																			
						11		basic_storm																tanky_draconian	
						1.3		basic_storm		basic_storm													basic_lava		
						0.88			basic_storm	basic_storm															basic_lava
						1		basic_storm																	tanky_draconian
						1			basic_storm																
						0.88		basic_storm															tanky_draconian		
						8																		tanky_draconian	
						0.7								basic_storm											basic_lava
						1.5									basic_storm			basic_storm							
						3									basic_storm			basic_storm							
						1.33													basic_storm						
						1																			basic_lava
						2																		basic_lava	
						1																	basic_lava		
						0.5																			basic_lava
																									
																									
																									
#	46.09																								
																									
#	WAVE 14																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						14	0	2	0		0	0	19	0		2	0	0	0		0			
#	gold	492					112	0	160	0		0	0	190	0		30	0	0	0		0			
	wave		14			28																			
#	event	warden	up																						
						1													alfa_lava						
						3		basic_shadow																	
						1.5			basic_shadow																
						2		basic_shadow		basic_shadow															
						1.2			basic_shadow																
						1.4				basic_shadow															
						5			alfa_shadow																
	event	warden	down																						
						1.5		basic_shadow																	
						2			basic_shadow																
						1.17				basic_shadow															
						4													basic_lava						
						1.5												basic_lava	basic_lava						
						0.66												basic_lava							
						1.25														basic_lava					
						1.62												basic_lava	basic_lava						
						6																		alfa_lava	
						5		alfa_shadow																	
						5		basic_shadow		basic_shadow															
						1		basic_shadow																	
						1.5			basic_shadow																
						1.22				basic_shadow															
						3.5			basic_shadow																
						1.5		basic_shadow																	
						1.7			basic_shadow																
						0.9		basic_shadow																	
						0.4				basic_shadow															
						3																	basic_lava		
						1																			basic_lava
						1																		basic_lava	
						1.18																			basic_lava
						1.1																	basic_lava		
						0.7																	basic_lava		basic_lava
																									
#	64.5																								
																									
#	WAVE 15																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						15	0	1	11		0	2	11	0		1	0	0	0		5			
#	gold	732					120	0	80	77		0	180	110	0		15	0	0	0		150			
	wave		15			27																			
	event	warden	down																						
						1			alfa_acid																
						5				basic_acid															
						1			basic_acid	basic_acid															
						0.77		basic_acid																	
						1.5			basic_acid																
						3				basic_acid															
						1.1		basic_acid																	
						0.88			basic_acid	basic_acid															
						1.3		basic_acid		basic_acid															
	event	warden	down																						
						2			alfa_acid																
						4							basic_shadow												
						1							basic_shadow											alfa_lava	
						1.2									basic_shadow										
						1.5									basic_shadow								basic_lava		basic_lava
						3								alfa_shadow										basic_lava	
						1.5							basic_shadow												basic_lava
						1									basic_shadow									basic_lava	
						1.5							basic_shadow										basic_lava		
						1.3									basic_shadow										
						7							basic_shadow											basic_lava	
						1.72								basic_shadow											
						1.66																	basic_lava		
						1.5							basic_shadow												
						1.3																			basic_lava
						7.5								tanky_draconian											
						1							basic_lava		basic_lava										
						1																			
						1.3							basic_lava		basic_lava										
						3								tanky_draconian											
						1							basic_lava		basic_lava										
						3.5								tanky_draconian											
						2							tanky_draconian												
						1.5									tanky_draconian										
																									
																									
																									
																									
																									
																									
#	68.53																								
