#	COMANDOS					1					2					3					4					5					6					7					8					9					10					11					12					13			
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3		6:*	6:2	6:1	6:3		7:*	7:2	7:1	7:3		8:*	8:2	8:1	8:3		9:*	9:2	9:1	9:3		10:*	10:2	10:1	10:3		11:*	11:2	11:1	11:3		12:*	12:2	12:1	12:3		13:*	13:2	13:1	13:3
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard		palace_guard																																																					
#	cant.					0	0	0	6		0	0	0	4		0																																																					
#	gold	360				0	0	0	180		0	0	0	180		0																																																					
	wave		7		33																																																																
					2																																	fan_guard																															
	wait				4																																																																
																																																																					
					3							fan_guard																																																									
					2									fan_guard																																																							
	wait				8																																																																
					0																																	fan_guard																															
	wait				1																																																																
																																																																					
					2																		gale_warrior																																														
																																																																					
					9																			gale_warrior																																													
					1.5																	gale_warrior																																															
					4																			gale_warrior																																													
					1.5																	gale_warrior																																															
					2																		gale_warrior																																														
	wait				8																																																																
																																																																					
#	48																																																																				
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
#	WAVE 8																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard		palace_guard																																																					
#	cant.					0	11	1	7		0	0	0	0		18																																																					
#	gold	603				0	220	65	210		0	0	0	0		108																																																					
	wave		8		32																																																																
					1		storm_spirit																																																														
					3				storm_spirit																																																												
					3.5			storm_spirit																																																													
					3		storm_spirit																																																														
					3.5				storm_spirit																																																												
					4		storm_spirit																	gale_warrior																																													
					1.5				storm_spirit													gale_warrior																																															
					5			storm_spirit																																																													
					7			qiongqi																								palace_guard		palace_guard																																			
					1.5																			gale_warrior								palace_guard		palace_guard																																			
					1.5																	gale_warrior																																															
					3																											palace_guard		palace_guard																																			
					1.5																		gale_warrior									palace_guard		palace_guard																																			
					1.5																											palace_guard		palace_guard																																			
	wait				2																																																																
					1																											palace_guard		palace_guard																																			
					1.5																											palace_guard		palace_guard																																			
					1.5		storm_spirit																	gale_warrior								palace_guard		palace_guard																																			
					1.5																	gale_warrior										palace_guard		palace_guard																																			
					1				storm_spirit																																																												
					3.5		storm_spirit																																																														
																																																																					
																																																																					
																																																																					
#	52.5																																																																				
																																																																					
#	WAVE 9																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard																																																							
#	cant.					0	0	0	0		4	2	0	0																																																							
#	gold	590				0	0	0	0		140	200	0	0																																																							
	wave		9		31																																																																
	event	fuente_remolino_start	1																																																																		
	event	fuente_remolino_start	5																																																																		
	wait				2																																																																
	call_manual_wave	water_spawner_w9_1																																																																			
					0																																							water_sorceress																									
					1								storm_elemental																								water_sorceress																																
					6																		storm_elemental																																														
																																																																					
	call_manual_wave	water_spawner_w9_2																																																																			
					10																																						water_sorceress																										
					5																																		water_sorceress																														
	wait				8																																																																
	call_manual_wave	water_spawner_w9_3																																																																			
	wait				15																																																																
	event	fuente_remolino_end	1																																																																		
	event	fuente_remolino_end	5																																																																		
																																																																					
#	45																																																																				
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
#	WAVE 10																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard																																																							
#	cant.					0	0	0	12		2	0	0	6		0	0	0	0																																																		
#	gold	700				0	0	0	360		70	0	0	270		0	0	0	0																																																		
	wave		10		37																																																																
					2								gale_warrior																																																								
					2.5							gale_warrior																																																									
					1.25									gale_warrior																																																							
					2.5							gale_warrior																																																									
					1.25				fan_guard					gale_warrior																																																							
					2		fan_guard																																																														
					6			water_sorceress																																																													
	wait				7																																																																
																																																																					
																																																																					
					6.5								gale_warrior																																																								
					2.5							gale_warrior																																																									
					1.25									gale_warrior																																																							
					2.5							gale_warrior																																																									
					1.25									gale_warrior																																																							
					2.5																																fan_guard																																
																																																																					
																																																																					
					1.25																																		fan_guard																														
					3.5				fan_guard																																																												
																																																																					
																																																																					
					2		fan_guard																																																														
	wait				4																																																																
					4			water_sorceress															gale_warrior																																														
					4																		gale_warrior																																														
	wait				1.5																																																																
																																																																					
																																																																					
																																																																					
																																																																					
#	61.25																																																																				
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
#	WAVE 11																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard		palace_guard																																																					
#	cant.					0	0	1	15		0	0	0	0		9																																																					
#	gold	679				0	0	65	450		0	0	0	0		54																																																					
	wave		11		45																																																																
																																																																					
																																																																					
					1			qiongqi																																																													
					1																								palace_guard																																								
					1.5																						palace_guard																																										
					0.5																							gale_warrior																																									
	event	fuente_remolino_start	4																																																																		
	wait				2.5																																																																
	call_manual_wave	water_spawner_w11_1																																																																			
					2.5																							gale_warrior	palace_guard																																								
					1.5																						palace_guard		palace_guard																																								
					1.5																						palace_guard																																										
					9																							gale_warrior	palace_guard																																								
	event	fuente_remolino_start	5																																																																		
					1.5																						palace_guard		gale_warrior																																								
					1.5																						gale_warrior																																										
	call_manual_wave	water_spawner_w11_2																																																																			
					12																							palace_guard	gale_warrior																																								
					1.5																						gale_warrior		gale_warrior																																								
					1.5																						gale_warrior																																										
	wait				2																																																																
	event	fuente_remolino_end	5																																																																		
	event	fuente_remolino_end	4																																																																		
					7																							gale_warrior																																									
					1																								gale_warrior																																								
					1.5																						gale_warrior		gale_warrior																																								
					1.5																						gale_warrior																																										
					1																							gale_warrior																																									
																																																																					
																																																																					
#	53																																																																				
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
#	WAVE 12																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard																																																							
#	cant.					0	18	0	0		3	2	0	0		0	0	0	0																																																		
#	gold	665				0	360	0	0		105	200	0	0		0	0	0	0																																																		
	wave		12		30																																																																
					1			storm_spirit															storm_elemental																																														
					4			storm_spirit																																																													
					3.5		storm_spirit																																																														
					3				storm_spirit																												water_sorceress																																
					4			storm_spirit																															water_sorceress																														
	wait				5																																																																
																																																																					
																																																																					
					3								storm_elemental																																																								
					3		storm_spirit		storm_spirit																																																												
					3.5			storm_spirit																																																													
					3.5		storm_spirit		storm_spirit																																																												
	wait				3																																																																
																																																																					
																																																																					
					2																																																																
					4.5		storm_spirit		storm_spirit																													water_sorceress																															
																																																																					
																																																																					
					4			storm_spirit																																																													
					3		storm_spirit		storm_spirit																																																												
					3.5			storm_spirit																																																													
					3		storm_spirit		storm_spirit																																																												
																																																																					
																																																																					
																																																																					
#	56.5																																																																				
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
#	WAVE 13																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard		palace_guard																																																					
#	cant.					0	0	0	16		0	0	0	7		32	0	0	0																																																		
#	gold	987				0	0	0	480		0	0	0	315		192	0	0	0																																																		
	wave		13		33																																																																
																																																																					
																																																																					
					1								fan_guard															gale_warrior																																									
					2							palace_guard																	gale_warrior																																								
					1.5							palace_guard		palace_guard													gale_warrior																																										
					1.5							palace_guard		palace_guard														gale_warrior																																									
					1.5									palace_guard																																																							
					5																		gale_warrior	palace_guard																																													
					1.5																	palace_guard																																															
					3																		gale_warrior	palace_guard																																													
					1.5								palace_guard									palace_guard		palace_guard																																													
					1.5								palace_guard									palace_guard																																															
					2							fan_guard	palace_guard											gale_warrior																																													
					1.5								palace_guard	fan_guard								gale_warrior																																															
					1.5								palace_guard										gale_warrior																																														
					1								palace_guard																																																								
					1								palace_guard																																																								
					1								palace_guard																																																								
					10							fan_guard												palace_guard																																													
					0.75																							gale_warrior																																									
					0.75									fan_guard								palace_guard																																															
					4.5							fan_guard												palace_guard				gale_warrior																																									
					0.75																							gale_warrior																																									
					0.75									fan_guard								palace_guard																																															
					3.5																			palace_guard																																													
					0.75																							gale_warrior																																									
					0.75																	palace_guard		palace_guard																																													
					0.75																							gale_warrior																																									
					0.75																	palace_guard																																															
					2																			palace_guard																																													
					0.75																							gale_warrior																																									
					0.75																	palace_guard																																															
					1.5																			palace_guard																																													
					0.75																							gale_warrior																																									
					0.75																	palace_guard																																															
#	58.5																																																																				
#	WAVE 14																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard																																																							
#	cant.					0	0	1	0		4	4	0	0		0	0	0	0																																																		
#	gold	875				0	0	65	0		140	400	0	0		0	0	0	0																																																		
	wave		14		33																																																																
					1								storm_elemental																															water_sorceress																									
	event	fuente_remolino_start	1																																																																		
	event	fuente_remolino_start	5																																																																		
	wait				2																																																																
	call_manual_wave	water_spawner_w14_1																																																																			
					6																		storm_elemental																																														
	wait				10																																																																
	event	fuente_remolino_end	1																																																																		
	event	fuente_remolino_end	5																																																																		
					3																												water_sorceress																																				
					7			qiongqi																																																													
					5																												water_sorceress																																				
					5									storm_elemental																																																							
	event	fuente_remolino_start	4																																																																		
	event	fuente_remolino_start	5																																																																		
	wait				2.5																																																																
	call_manual_wave	water_spawner_w14_2																																																																			
					7																																							water_sorceress																									
					6							storm_elemental																																																									
	wait				3																																																																
	event	fuente_remolino_start	1																																																																		
	wait				2.5																																																																
	call_manual_wave	water_spawner_w14_3																																																																			
	wait				11.5																																																																
	event	fuente_remolino_end	5																																																																		
	event	fuente_remolino_end	4																																																																		
	event	fuente_remolino_end	1																																																																		
#	71.5																																																																				
																																																																					
																																																																					
#	WAVE 15																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard																																																							
#	cant.					0	0	1	0		2	2	0	5		0	0	0	0																																																		
#	gold	560				0	0	65	0		70	200	0	225		0	0	0	0																																																		
	wave		15		35																																																																
																																																																					
																																																																					
	wait				3																																																																
																																																																					
																																																																					
																																																																					
					7																			fan_guard																																													
					1.5																	fan_guard															water_sorceress																																
					6								storm_elemental																																																								
	wait				4																																																																
																																																																					
																																																																					
																																																																					
																																																																					
					2			fan_guard																																																													
	wait				3																																																																
																																																																					
																																																																					
					4.5			qiongqi																														storm_elemental																															
					4.5			water_sorceress																																																													
					2.5																			fan_guard																																													
					1.5																	fan_guard																																															
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
#	36.5																																																																				
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
#	Total Wave Intervals: 7.43 mins																																																																				
																																																																					
																																																																					
#	BOSSFIGHT																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard		palace_guard																																																					
#	cant.					0	0	0	4		0	0	0	0		16																																																					
#	gold	216				0	0	0	120		0	0	0	0		96																																																					
	manual_wave	manual_wave_bossprincess1																																																																			
	wait				1																																																																
																																																																					
					3			big_terracota																																																													
					2		terracota																																																														
					2				terracota																																																												
					2		terracota		terracota																																																												
																																																																					
	wait				10																																																																
					2												gale_warrior																																																				
					1.25														gale_warrior																																																		
	wait				2																																																																
																																																																					
					4			big_terracota																													palace_guard		palace_guard																														
					2		terracota		terracota																												palace_guard		palace_guard																														
																																																																					
					2		terracota		terracota																												palace_guard		palace_guard																														
					3		big_terracota		big_terracota																												palace_guard		palace_guard																														
	wait				12.5																																																																
																																																																					
					5.5																	gale_warrior																																															
																																																																					
					1.25																			gale_warrior																																													
	wait				1																																																																
																																																																					
#	56.5																																																																				
																																																																					
	manual_wave	manual_wave_bossprincess2																																																																			
	event	fuente_remolino_start	5																																																																		
	wait				3.5																																																																
	event	fuente_remolino_end	5																																																																		
					4.5							big_terracota																																																									
					1.25									big_terracota																																																							
					5.5																																					palace_guard		palace_guard																									
					2			big_terracota																			palace_guard		palace_guard																																								
					2																						palace_guard		palace_guard																																								
					7.75																																					palace_guard		palace_guard																									
					7			terracota																																																													
					1.5		terracota		terracota																																																												
																																																																					
	wait				18																																																																
																																																																					
	manual_wave_repeat	-1																																																																			
																																																																					
																																																																					
#	49.5																																																																				
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
#	MANUAL WAVES																																																																				
	manual_wave	water_spawner_p9																																																																			
					1.5																																											water_spirit_spawnless																					
					1.5																																										water_spirit_spawnless																						
					1.5																																												water_spirit_spawnless																				
					3																																											water_spirit_spawnless																					
					1.5																																												water_spirit_spawnless																				
					1.5																																										water_spirit_spawnless																						
																																																																					
					3																																										water_spirit_spawnless																						
					1.5																																												water_spirit_spawnless																				
					1.5																																											water_spirit_spawnless																					
#	16.5																																																																				
																																																																					
																																																																					
																																																																					
																																																																					
	manual_wave	water_spawner_p10																																																																			
					1.5																																															water_spirit_spawnless																	
					1.5																																																water_spirit_spawnless																
					1.5																																																	water_spirit_spawnless															
					2.5																																																water_spirit_spawnless																
					1.5																																															water_spirit_spawnless																	
					1.5																																																water_spirit_spawnless																
					2.5																																																	water_spirit_spawnless															
					1.5																																																water_spirit_spawnless																
					1.5																																															water_spirit_spawnless																	
					1.5																																																water_spirit_spawnless																
																																																																					
#	17																																																																				
																																																																					
																																																																					
																																																																					
	manual_wave	water_spawner_p11																																																																			
					1.5																																																					water_spirit_spawnless											
					1.5																																																				water_spirit_spawnless												
					1.5																																																						water_spirit_spawnless										
					2.5																																																					water_spirit_spawnless											
					1.5																																																				water_spirit_spawnless												
					1.5																																																						water_spirit_spawnless										
					2.5																																																					water_spirit_spawnless											
					1.5																																																				water_spirit_spawnless												
					1.5																																																						water_spirit_spawnless										
					1.5																																																					water_spirit_spawnless											
																																																																					
#	17																																																																				
																																																																					
																																																																					
																																																																					
	manual_wave	water_spawner_p12																																																																			
					1.5																																																									water_spirit_spawnless							
					1.5																																																									water_spirit_spawnless							
					2																																																											water_spirit_spawnless					
					1.5																																																											water_spirit_spawnless					
					3.5																																																									water_spirit_spawnless							
					1.5																																																											water_spirit_spawnless					
					3																																																										water_spirit_spawnless						
					1.5																																																									water_spirit_spawnless							
					1.5																																																											water_spirit_spawnless					
					1.5																																																										water_spirit_spawnless						
																																																																					
#	19																																																																				
																																																																					
																																																																					
																																																																					
	manual_wave	mud_spawner_w7_1																																																																			
	event	fuente_remolino_start	4	terracota																																																																	
					2.5																																										terracota		terracota																				
					0.75																																											terracota																					
					1.25																																										terracota		terracota																				
					0.75																																											terracota																					
					1.25																																										terracota		terracota																				
					0.75																																											terracota																					
					1.25																																										terracota		terracota																				
					0.75																																											terracota																					
	wait				1.25																																																																
	event	fuente_remolino_end	4	terracota																																																																	
#	11																																																																				
	manual_wave	mud_spawner_w7_2																																																																			
	event	fuente_remolino_start	1	terracota																																																																	
					3																																																									terracota		terracota					
					1																																																										terracota						
					1																																																									terracota		terracota					
																																																																					
					3																																																									terracota		terracota					
					1																																																										terracota						
					1																																																									terracota		terracota					
																																																																					
					3																																																									terracota		terracota					
					1																																																										terracota						
					1																																																									terracota		terracota					
																																																																					
#	13																																																																				
	manual_wave	mud_spawner_w7_3																																																																			
																																																																					
					1																																																									terracota	terracota	terracota					
					1.25																																																										terracota						
					1.25																																																									terracota		terracota					
					0.75																																																										terracota						
					1.25																																																									terracota		terracota					
					0.75																																																										terracota						
	wait				1.25																																																																
	event	fuente_remolino_end	1	terracota																																																																	
#	13.5																																																																				
	manual_wave	water_spawner_w9_1																																																																			
					1																																																water_spirit_spawnless									water_spirit_spawnless							
					2																																															water_spirit_spawnless												water_spirit_spawnless					
					2																																																	water_spirit_spawnless								water_spirit_spawnless							
					2																																																water_spirit_spawnless											water_spirit_spawnless					
	manual_wave	water_spawner_w9_2																																																																			
					2																																																water_spirit_spawnless									water_spirit_spawnless							
					2.5																																															water_spirit_spawnless												water_spirit_spawnless					
					2																																																	water_spirit_spawnless								water_spirit_spawnless							
					1.75																																															water_spirit_spawnless												water_spirit_spawnless					
					1.5																																																	water_spirit_spawnless								water_spirit_spawnless							
					1.25																																																											water_spirit_spawnless					
					5																																															water_spirit_spawnless		water_spirit_spawnless								water_spirit_spawnless							
					2																																																											water_spirit_spawnless					
					1.75																																															water_spirit_spawnless		water_spirit_spawnless															
					1.5																																																water_spirit_spawnless									water_spirit_spawnless		water_spirit_spawnless					
#	21.25																																																																				
	manual_wave	water_spawner_w9_3																																																																			
					2																																																	water_spirit_spawnless								water_spirit_spawnless							
					2.5																																																	water_spirit_spawnless										water_spirit_spawnless					
					2																																															water_spirit_spawnless										water_spirit_spawnless							
					1.75																																															water_spirit_spawnless												water_spirit_spawnless					
					1.5																																																	water_spirit_spawnless								water_spirit_spawnless							
					3.5																																																	water_spirit_spawnless										water_spirit_spawnless					
					1.5																																															water_spirit_spawnless										water_spirit_spawnless							
					1.25																																															water_spirit_spawnless												water_spirit_spawnless					
																																																																					
																																																																					
																																																																					
																																																																					
#	16																																																																				
	manual_wave	mud_spawner_w10_1																																																																			
	event	fuente_remolino_start	4	terracota																																																																	
	event	fuente_remolino_start	5	terracota																																																																	
					2.5																																										terracota		terracota				terracota																
					0.75																																											terracota				terracota		terracota															
					1.25																																										terracota		terracota				terracota																
					0.75																																											terracota				terracota		terracota															
					1.25																																										terracota		terracota				terracota																
					0.75																																											terracota				terracota		terracota															
					1.25																																										terracota		terracota				terracota																
					0.75																																											terracota				terracota		terracota															
					1.25																																										terracota		terracota				terracota																
					0.75																																											terracota				terracota		terracota															
					1.25																																										terracota		terracota				terracota																
	wait				2																																																																
	event	fuente_remolino_end	4	terracota																																																																	
	event	fuente_remolino_end	5	terracota																																																																	
#	12																																																																				
	manual_wave	mud_spawner_w10_2																																																																			
	event	fuente_remolino_start	4	terracota																																																																	
	event	fuente_remolino_start	1	terracota																																																																	
					2.5																																											terracota																terracota					
					0.75																																										terracota		terracota														terracota						
					1.25																																											terracota														terracota							
					0.75																																										terracota		terracota														terracota						
					1.25																																											terracota																terracota					
					0.75																																										terracota		terracota														terracota						
	wait				1.25																																																																
	event	fuente_remolino_end	4	terracota																																																																	
	event	fuente_remolino_end	1	terracota																																																																	
#	10																																																																				
	manual_wave	water_spawner_w11_1																																																																			
					1																																											water_spirit_spawnless																					
					2.5																																										water_spirit_spawnless																						
					2.5																																											water_spirit_spawnless																					
					2																																											water_spirit_spawnless																					
					2																																												water_spirit_spawnless																				
					1																																											water_spirit_spawnless																					
					1																																											water_spirit_spawnless																					
					0.75																																										water_spirit_spawnless																						
																																																																					
																																																																					
#	13.5																																																																				
																																																																					
																																																																					
																																																																					
																																																																					
	manual_wave	water_spawner_w11_2																																																																			
					1																																											water_spirit_spawnless									water_spirit_spawnless		water_spirit_spawnless										
					2.5																																										water_spirit_spawnless											water_spirit_spawnless											
					2.5																																										water_spirit_spawnless											water_spirit_spawnless											
					2																																												water_spirit_spawnless									water_spirit_spawnless											
					2																																												water_spirit_spawnless								water_spirit_spawnless		water_spirit_spawnless										
					1.5																																										water_spirit_spawnless																						
					1.5																																										water_spirit_spawnless																						
					1																																												water_spirit_spawnless																				
					1																																											water_spirit_spawnless																					
					1																																										water_spirit_spawnless																						
#	15																																																																				
																																																																					
																																																																					
																																																																					
																																																																					
	manual_wave	mud_spawner_w12_1																																																																			
	event	fuente_remolino_start	4	terracota																																																																	
	event	fuente_remolino_start	1	terracota																																																																	
					3																																											terracota														terracota		terracota					
					0.75																																										terracota		terracota														terracota						
					1.25																																											terracota														terracota		terracota					
					0.75																																										terracota		terracota														terracota						
					1.25																																											terracota														terracota		terracota					
					0.75																																										terracota		terracota														terracota						
