#	COMANDOS					1 - Izquierda a Derecha Arriba					2 - Arriba a Derecha Arriba					3 - Abajo a Derecha Abajo					4 - Izquierda a Derecha Abajo					5 - Furnace a Derecha Abajo					6 - Furnace a Derecha Arriba
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3		6:*	6:2	6:1	6:3
#	level properties
	description	main JC



#	WAVE 7					Speedster x8
Tinkerer x2										Speedster x8
Tinkerer x2										Sentry x6					Sentry x6
#	enemies					darksteel_hammerer	darksteel_shielder	scrap_speedster	surveillance_sentry		brute_welder	darksteel_fist	mad_tinkerer	scrap_drone		darksteel_anvil	darksteel_hulk	common_clone	darksteel_guardian		rolling_sentry
#	cant.					0	0	16	0		0	0	4	0		0	0	0	0		8
#	gold	576				0	0	96	0		0	0	280	0		0	0	0	0		200
#	wave		7		25
					20			mad_tinkerer																		rolling_sentry
					0.6		scrap_speedster
					0.6				scrap_speedster
					0.6		scrap_speedster
					0.6				scrap_speedster																	rolling_sentry

					12													mad_tinkerer													rolling_sentry
					0.6												scrap_speedster
					0.6														scrap_speedster
					0.6												scrap_speedster
					0.6														scrap_speedster												rolling_sentry

					12			mad_tinkerer																		rolling_sentry
					0.6		scrap_speedster
					0.6				scrap_speedster
					0.6		scrap_speedster
					0.6				scrap_speedster																	rolling_sentry

					12													mad_tinkerer													rolling_sentry
					0.6												scrap_speedster
					0.6														scrap_speedster
					0.6												scrap_speedster
					0.6														scrap_speedster												rolling_sentry







#	WAVE 8										Hammerer x16
Welder x4					Speedster x16					Speedster x20
Tinkerer x4
#	enemies					darksteel_hammerer	darksteel_shielder	scrap_speedster	surveillance_sentry		brute_welder	darksteel_fist	mad_tinkerer	scrap_drone		darksteel_anvil	darksteel_hulk	common_clone	darksteel_guardian		rolling_sentry
#	cant.					16	0	32	0		4	0	4	0		0	0	0	0		0
#	gold	1304				352	0	192	0		480	0	280	0		0	0	0	0		0
#	wave		8		25
					8						brute_welder
					6						brute_welder
					12							darksteel_hammerer		darksteel_hammerer		scrap_speedster					mad_tinkerer
					0.6											scrap_speedster					scrap_speedster
					0.6											scrap_speedster					scrap_speedster
					0.6							darksteel_hammerer		darksteel_hammerer		scrap_speedster					scrap_speedster
																					scrap_speedster

					7							darksteel_hammerer		darksteel_hammerer							mad_tinkerer
					0.6											scrap_speedster					scrap_speedster
					0.6											scrap_speedster					scrap_speedster
					0.6							darksteel_hammerer		darksteel_hammerer		scrap_speedster					scrap_speedster
					0.6											scrap_speedster					scrap_speedster

					9						brute_welder										mad_tinkerer
					8						brute_welder										mad_tinkerer
					6											scrap_speedster					scrap_speedster
					0.6							darksteel_hammerer		darksteel_hammerer		scrap_speedster					scrap_speedster
					0.6											scrap_speedster					scrap_speedster
					0.6											scrap_speedster					scrap_speedster
					0.6							darksteel_hammerer		darksteel_hammerer
					5							darksteel_hammerer		darksteel_hammerer		scrap_speedster					scrap_speedster
					0.6											scrap_speedster					scrap_speedster
					0.6											scrap_speedster					scrap_speedster
					0.6							darksteel_hammerer		darksteel_hammerer		scrap_speedster					scrap_speedster
