#	COMANDOS					1					2					3					4			
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3
					1														fire_fox					
					1												fire_fox					flame_guard		flame_guard
					4												ash_spirit					flame_guard		flame_guard
					1																	flame_guard		flame_guard
					9		flame_guard		flame_guard													flame_guard		flame_guard
					2.5								blaze_raider											
					3.5		flame_guard		flame_guard													flame_guard		flame_guard
					17								blaze_raider									burning_treant		
					2.5		blaze_raider																	
					1.5				blaze_raider													flame_guard		flame_guard
					17		blaze_raider												ash_spirit					burning_treant
					6				blaze_raider				blaze_raider									flame_guard		flame_guard
	manual_wave_repeat	-1																						
